기준연월,시간대,행정동코드,행정동명,이동건수
2022-04,02,2617053000,초량3동,360774
2022-04,01,2617053000,초량3동,360691
2022-04,12,2617053000,초량3동,559590
2022-04,09,2617053000,초량3동,536547
2022-04,19,2617053000,초량3동,444955
2022-04,15,2617053000,초량3동,535679
2022-04,05,2617053000,초량3동,375908
2022-04,14,2617053000,초량3동,559514
2022-04,06,2617053000,초량3동,399310
2022-04,22,2617053000,초량3동,392925
2022-04,08,2617055000,초량6동,41373
2022-04,00,2617055000,초량6동,37712
2022-04,05,2617055000,초량6동,38863
2022-04,17,2617055000,초량6동,34078
2022-04,07,2617055000,초량6동,40634
2022-04,23,2617055000,초량6동,37414
2022-04,20,2617055000,초량6동,37850
2022-04,02,2617055000,초량6동,38666
2022-04,11,2617055000,초량6동,38356
2022-04,14,2617055000,초량6동,37094
2022-04,15,2617055000,초량6동,35957
2022-04,03,2617055000,초량6동,38867
2022-04,09,2617055000,초량6동,39699
2022-04,10,2617055000,초량6동,38857
2022-04,06,2617055000,초량6동,37724
2022-04,13,2617055000,초량6동,37222
2022-04,01,2617055000,초량6동,38598
2022-04,19,2617055000,초량6동,35819
2022-04,16,2617055000,초량6동,33638
2022-04,18,2617055000,초량6동,34982
2022-04,22,2617055000,초량6동,40046
2022-04,12,2617055000,초량6동,37669
2022-04,04,2617055000,초량6동,38831
2022-04,21,2617055000,초량6동,38725
2022-04,00,2617056000,수정1동,212607
2022-04,01,2617056000,수정1동,211872
2022-04,11,2617056000,수정1동,187900
2022-04,12,2617056000,수정1동,184122
2022-04,21,2617056000,수정1동,196077
2022-04,03,2617056000,수정1동,210851
2022-04,09,2617056000,수정1동,198426
2022-04,02,2617056000,수정1동,211525
2022-04,04,2617056000,수정1동,207676
2022-04,10,2617056000,수정1동,193544
2022-04,13,2617056000,수정1동,183543
2022-04,15,2617056000,수정1동,181293
2022-04,16,2617056000,수정1동,179604
2022-04,23,2617056000,수정1동,206876
2022-04,14,2617056000,수정1동,181141
2022-04,05,2617056000,수정1동,207687
2022-04,08,2617056000,수정1동,201932
2022-04,18,2617056000,수정1동,182236
2022-04,22,2617056000,수정1동,199780
2022-04,07,2617056000,수정1동,201323
2022-04,17,2617056000,수정1동,180426
2022-04,20,2617056000,수정1동,190615
2022-04,19,2617056000,수정1동,186408
2022-04,06,2617056000,수정1동,205445
2022-04,07,2617057000,수정2동,182390
2022-04,15,2617057000,수정2동,199241
2022-04,08,2617057000,수정2동,184340
2022-04,14,2617057000,수정2동,195975
2022-04,09,2617057000,수정2동,188092
2022-04,10,2617057000,수정2동,189262
2022-04,16,2617057000,수정2동,204041
2022-04,05,2617057000,수정2동,183650
2022-04,02,2617057000,수정2동,184847
2022-04,19,2617057000,수정2동,212256
